match_id,date,competition,club,opponent,player_id,player,role,position,minutes,started,result,goals,assists,xg,xa,shots,passes,completed_passes,progressive_passes,final_third_entries,pressures,recoveries,interceptions,tackles,carries,progressive_carries,risk_passes,reward_passes
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,7039,Hakan Çalhanoğlu,FWD,Right Wing,88.3,1,W,1.0,0.0,0.1283,0.0951,3.0,61.0,40.0,4.0,4.0,15.0,6.0,0,2.0,56.0,2.0,4.0,7.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8212,Wendell Nascimento Borges,DEF,Left Back,94.2,1,W,0,0.0,0,0.278,0,58.0,37.0,8.0,3.0,23.0,8.0,6.0,4.0,39.0,2.0,7.0,8.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8213,Karim Bellarabi,FWD,Right Wing,33.13,0,W,0,0.0,0,0,0,11.0,5.0,0.0,0.0,11.0,1.0,2.0,1.0,12.0,1.0,0.0,0.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8219,Admir Mehmedi,MID,Center Attacking Midfield,74.68,1,W,0.0,0.0,0.1388,0,2.0,31.0,27.0,6.0,1.0,9.0,2.0,0,0,31.0,2.0,5.0,6.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8221,Jonathan Tah,DEF,Right Center Back,94.2,1,W,0,0.0,0,0,0,40.0,38.0,8.0,1.0,8.0,3.0,4.0,0,35.0,0.0,1.0,8.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8313,Kyriakos Papadopoulos,FWD,Left Wing,5.9,0,W,0,0.0,0,0,0,1.0,1.0,0.0,0.0,3.0,0,0,0,0,0,0.0,0.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8805,Christoph Kramer,MID,Right Defensive Midfield,94.2,1,W,0.0,0.0,0.0991,0,1.0,77.0,73.0,7.0,6.0,9.0,12.0,0,1.0,68.0,1.0,3.0,7.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8918,Roberto Hilbert,DEF,Right Back,94.2,1,W,0.0,0.0,0.0428,0.0131,1.0,48.0,26.0,9.0,6.0,10.0,9.0,0,2.0,32.0,2.0,7.0,9.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,8969,Lars Bender,MID,Left Defensive Midfield,94.2,1,W,0.0,0.0,0.0523,0.1835,2.0,60.0,44.0,10.0,4.0,20.0,5.0,4.0,4.0,47.0,3.0,7.0,10.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,9363,André Ramalho Silva,DEF,Left Center Back,94.2,1,W,0.0,0.0,0.278,0,1.0,49.0,44.0,7.0,0.0,11.0,3.0,3.0,1.0,37.0,0.0,0.0,7.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,11394,Stefan Kießling,FWD,Center Forward,94.2,1,W,0,0.0,0,0.1257,0,32.0,24.0,1.0,2.0,20.0,6.0,1.0,1.0,35.0,4.0,1.0,2.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,15581,Bernd Leno,GK,Goalkeeper,94.2,1,W,0,0.0,0,0.033,0,36.0,25.0,6.0,4.0,0,6.0,0,0,24.0,0.0,0.0,6.0
266236,2015-08-23,La Liga,Barcelona,Athletic Club,3508,Sandro Ramírez Castillo,FWD,Left Wing,12.08,0,W,0,0.0,0,0,0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
266236,2015-08-23,La Liga,Barcelona,Athletic Club,4324,Daniel Alves da Silva,DEF,Right Back,18.45,1,W,0,0.0,0,0,0,16.0,16.0,1.0,1.0,2.0,0,0,1.0,11.0,0.0,0.0,1.0
266236,2015-08-23,La Liga,Barcelona,Athletic Club,4691,Claudio Andrés Bravo Muñoz,GK,Goalkeeper,94.07,1,W,0,0.0,0,0,0,66.0,47.0,4.0,1.0,0,7.0,0,0,46.0,0.0,0.0,4.0
266236,2015-08-23,La Liga,Barcelona,Athletic Club,5203,Sergio Busquets i Burgos,MID,Center Defensive Midfield,67.07,1,W,0,0.0,0,0,0,52.0,48.0,3.0,1.0,4.0,3.0,0,4.0,30.0,1.0,1.0,3.0
266236,2015-08-23,La Liga,Barcelona,Athletic Club,5211,Jordi Alba Ramos,DEF,Left Back,94.07,1,W,0,1.0,0,0.3655,0,103.0,76.0,9.0,2.0,2.0,3.0,0,1.0,55.0,1.0,2.0,10.0
266236,2015-08-23,La Liga,Barcelona,Athletic Club,5216,Andrés Iniesta Luján,MID,Left Center Midfield,94.07,1,W,0.0,0.0,0.0884,0,2.0,65.0,54.0,5.0,3.0,9.0,6.0,0,3.0,45.0,1.0,4.0,5.0
266236,2015-08-23,La Liga,Barcelona,Athletic Club,5246,Luis Alberto Suárez Díaz,FWD,Center Forward,94.07,1,W,1.0,0.0,0.606,0,3.0,31.0,24.0,5.0,5.0,10.0,2.0,0,0,36.0,0.0,5.0,5.0
