sample_player,second,x_m,y_m,distance_step_m
Sample player 5,158.0,34.94,-0.21,3.03
Sample player 2,158.0,38.55,16.84,2.36
Sample player 4,158.0,36.15,-6.72,3.16
Sample player 3,158.0,21.43,18.53,4.66
Sample player 6,160.0,32.71,11.06,5.43
Sample player 5,160.0,31.09,0.77,3.97
Sample player 2,160.0,33.52,20.55,6.25
Sample player 3,160.0,16.39,20.52,5.42
Sample player 1,160.0,6.02,1.01,35.13
Sample player 6,162.0,30.23,13.38,3.4
Sample player 5,162.0,27.98,2.08,3.37
Sample player 2,162.0,28.31,18.85,5.48
Sample player 4,162.0,28.22,-7.9,8.02
Sample player 3,162.0,17.44,21.8,1.66
Sample player 1,162.0,6.72,1.5,0.85
Sample player 6,164.0,32.77,14.57,2.8
Sample player 5,164.0,31.2,2.74,3.29
Sample player 2,164.0,27.7,15.59,3.32
Sample player 4,164.0,29.86,-5.12,3.23
Sample player 3,164.0,18.18,19.6,2.32
Sample player 1,164.0,6.68,1.63,0.14
Sample player 6,166.0,36.47,12.62,4.18
Sample player 5,166.0,36.28,3.19,5.1
Sample player 2,166.0,35.95,17.67,8.51
Sample player 4,166.0,34.36,-3.52,4.78
Sample player 3,166.0,20.11,18.22,2.37
Sample player 6,168.0,43.22,8.17,8.08
Sample player 5,168.0,41.66,1.99,5.51
Sample player 2,168.0,47.49,19.28,11.65
Sample player 4,168.0,38.38,-2.98,4.06
Sample player 6,170.0,46.29,8.46,3.08
Sample player 5,170.0,42.44,1.57,0.89
Sample player 2,170.0,51.06,26.88,8.4
Sample player 4,170.0,40.6,-3.41,2.26
Sample player 6,172.0,44.91,9.16,1.55
Sample player 5,172.0,39.8,1.11,2.68
Sample player 2,172.0,49.88,34.09,7.31
Sample player 4,172.0,39.06,-3.58,1.55
Sample player 3,172.0,26.07,26.74,10.4
Sample player 6,174.0,40.22,9.17,4.69
Sample player 5,174.0,37.4,2.24,2.65
Sample player 2,174.0,45.46,32.3,4.77
Sample player 4,174.0,36.82,-3.98,2.28
Sample player 3,174.0,28.88,29.61,4.02
Sample player 6,176.0,35.92,9.14,4.3
Sample player 5,176.0,35.02,2.53,2.4
Sample player 2,176.0,39.47,27.72,7.54
Sample player 4,176.0,35.14,-2.89,2.0
Sample player 3,176.0,25.16,31.79,4.31
Sample player 1,176.0,11.39,14.92,14.1
Sample player 2,178.0,33.78,23.5,7.08
Sample player 3,178.0,15.24,27.95,10.64
Sample player 1,178.0,9.11,23.28,8.67
Sample player 2,180.0,28.53,19.15,6.82
Sample player 3,180.0,10.11,20.56,9.0
Sample player 1,180.0,5.17,18.94,5.86
Sample player 6,182.0,24.04,2.75,13.49
Sample player 5,182.0,23.58,-3.92,13.13
Sample player 2,182.0,25.04,14.18,6.07
Sample player 3,182.0,7.94,14.24,6.68
Sample player 1,182.0,6.05,9.51,9.47
Sample player 6,184.0,25.02,-1.31,4.18
Sample player 5,184.0,24.58,-7.34,3.56
Sample player 2,184.0,25.09,9.97,4.21
Sample player 4,184.0,24.06,-14.45,16.01
Sample player 3,184.0,8.99,8.6,5.74
Sample player 1,184.0,8.69,0.76,9.14
Sample player 6,186.0,26.05,-3.25,2.2
Sample player 5,186.0,26.03,-8.79,2.05
Sample player 2,186.0,25.68,7.06,2.97
Sample player 4,186.0,25.1,-18.05,3.75
Sample player 3,186.0,10.93,2.95,5.97
Sample player 1,186.0,6.76,-9.86,10.79
Sample player 6,188.0,21.86,-3.39,4.19
Sample player 5,188.0,22.04,-10.53,4.35
Sample player 2,188.0,21.99,5.9,3.87
Sample player 3,188.0,4.87,-3.85,9.11
Sample player 1,188.0,3.47,-19.9,10.57
Sample player 6,190.0,15.62,-2.6,6.29
Sample player 5,190.0,15.35,-10.69,6.69
Sample player 2,190.0,15.75,6.29,6.25
Sample player 4,190.0,15.5,-18.07,9.6
Sample player 3,190.0,-6.32,-10.4,12.97
Sample player 1,190.0,-1.4,-21.1,5.02
Sample player 6,192.0,11.26,-3.38,4.43
Sample player 2,192.0,11.26,4.84,4.72
Sample player 3,192.0,-6.54,-17.77,7.37
Sample player 1,192.0,-8.55,-21.69,7.17
Sample player 2,194.0,5.18,6.44,6.29
Sample player 3,194.0,-9.31,-16.33,3.12
Sample player 1,194.0,-14.93,-15.29,9.04
Sample player 3,196.0,-14.32,-11.12,7.23
Sample player 1,196.0,-17.36,-7.34,8.31
Sample player 3,198.0,-19.4,-5.89,7.29
Sample player 1,198.0,-17.98,0.51,7.87
Sample player 3,206.0,-23.34,2.28,9.07
Sample player 1,206.0,-22.87,12.73,13.16
Sample player 3,208.0,-22.66,3.57,1.46
Sample player 1,208.0,-23.28,11.77,1.04
Sample player 3,210.0,-20.24,3.69,2.42
Sample player 1,210.0,-25.76,10.96,2.61
Sample player 3,212.0,-19.8,-1.83,5.54
Sample player 1,212.0,-23.78,5.96,5.38
Sample player 3,214.0,-20.74,-4.52,2.85
