match_id,date,club,player_id,player,role,x_bin,y_bin,passes,completed,progressive,risk,reward,xa
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,4,2,4,4,0,0,2,0.049973738000000004
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,4,2,9,7,1,1,1,0.0
3825617,2015-10-03,Barcelona,6379,Sergi Roberto Carnicer,DEF,4,3,6,6,1,1,1,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,4,3,5,4,3,2,3,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,4,3,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,6379,Sergi Roberto Carnicer,DEF,5,3,9,8,0,0,0,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,3,2,5,5,0,0,0,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,3,1,9,8,3,3,3,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,3,0,10,9,0,1,0,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,2,1,6,5,1,0,1,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,2,3,8,7,2,0,2,0.0
3825617,2015-10-03,Barcelona,6379,Sergi Roberto Carnicer,DEF,4,2,3,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,4,2,3,2,1,0,2,0.029794285
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,3,3,1,1,1,1,1,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,5,3,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,5,3,5,4,0,0,1,0.0325615
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,4,3,1,0,0,1,0,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,4,2,6,5,0,1,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,4,1,6,4,0,1,0,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,3,2,10,9,3,3,3,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,3,3,6,6,0,0,0,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,3,2,7,7,3,2,3,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,3,0,2,2,1,0,1,0.0
3825617,2015-10-03,Barcelona,6379,Sergi Roberto Carnicer,DEF,3,3,10,7,2,2,2,0.0
3825617,2015-10-03,Barcelona,4691,Claudio Andrés Bravo Muñoz,GK,0,2,11,9,1,0,1,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,0,2,3,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,2,0,3,3,1,0,1,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,1,0,4,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,0,3,5,4,1,0,1,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,2,3,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,4,1,16,11,3,5,4,0.044287045
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,4,2,6,4,2,2,3,0.043954938
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,5,1,2,2,0,0,2,0.5123455
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,2,1,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,1,2,6,6,1,0,1,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,1,2,5,5,0,0,0,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,1,3,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,2,2,9,9,3,0,3,0.09089739
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,5,1,3,1,0,1,1,0.19267824
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,5,0,8,4,0,0,2,0.19421024999999997
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,2,2,1,0,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,1,1,3,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,1,2,3,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,3,3,1,1,1,1,1,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,5,0,6,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,4,0,11,10,0,1,1,0.046032216
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,4,0,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,3,0,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,2,2,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,3,1,10,9,2,2,2,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,3,1,12,11,3,1,3,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,0,1,1,0,0,0,0,0.0
3825617,2015-10-03,Barcelona,6379,Sergi Roberto Carnicer,DEF,1,2,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,2,0,3,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,2,1,6,6,0,0,0,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,2,0,1,0,0,0,0,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,2,2,9,7,1,0,1,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,1,3,3,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,1,3,2,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,2,3,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,1,3,1,1,1,0,1,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,2,2,8,7,2,0,2,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,0,3,1,0,0,0,0,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,1,3,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,2,3,2,1,1,0,1,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,1,2,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,2,2,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,4,1,6,4,2,4,3,0.022951549
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,0,0,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,2,2,7,6,2,0,2,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,3,1,2,2,1,1,1,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,0,2,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,2,3,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,3,3,2,2,1,0,1,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,4,1,5,4,1,1,1,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,4,0,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,0,1,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,3,0,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,5,2,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,2,3,5,4,0,0,0,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,0,3,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,6379,Sergi Roberto Carnicer,DEF,2,3,5,5,0,0,0,0.0
3825617,2015-10-03,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,5,2,3,3,0,0,0,0.0
3825617,2015-10-03,Barcelona,6616,Munir El Haddadi Mohamed,FWD,5,2,1,0,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,3,1,4,4,1,1,1,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,4,0,8,7,0,1,0,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,3,3,3,3,1,0,1,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,1,0,2,2,0,0,0,0.0
